district,percent.turnout
Airdrie,53.6
Athabasca-Sturgeon-Redwater,65.2
Banff-Cochrane,54.2
Barrhead-Morinville-Westlock,65.2
Battle River-Wainwright,64.1
Bonnyville-Cold Lake,47.9
Calgary-Acadia,54.6
Calgary-Bow,51.6
Calgary-Buffalo,40.9
Calgary-Cross,40.6
Calgary-Currie,49.9
Calgary-East,40.9
Calgary-Elbow,59.7
Calgary-Fish Creek,61
Calgary-Foothills,52.4
Calgary-Fort,43.9
Calgary-Glenmore,57.3
Calgary-Greenway,41
Calgary-Hawkwood,61.3
Calgary-Hays,56.6
Calgary-Klein,53.3
Calgary-Lougheed,51.3
Calgary-Mackay-Nose Hill,48.9
Calgary-McCall,42.8
Calgary-Mountain View,54.4
Calgary-North West,57.2
Calgary-Northern Hills,46
Calgary-Shaw,57.5
Calgary-South East,50.6
Calgary-Varsity,58.5
Calgary-West,56.5
Cardston-Taber-Warner,51.4
Chestermere-Rocky View,59.8
Cypress-Medicine Hat,52.9
Drayton Valley-Devon,57.2
Drumheller-Stettler,59.3
Dunvegan-Central Peace-Notley,58.7
Edmonton-Beverly-Clareview,46.4
Edmonton-Calder,50.2
Edmonton-Castle Downs,51.7
Edmonton-Centre,47.4
Edmonton-Decore,47.8
Edmonton-Ellerslie,52.5
Edmonton-Glenora,53.2
Edmonton-Gold Bar,61
Edmonton-Highlands-Norwood,48
Edmonton-Manning,56.2
Edmonton-McClung,53.9
Edmonton-Meadowlark,54.2
Edmonton-Mill Creek,49.8
Edmonton-Mill Woods,54.7
Edmonton-Riverview,61.7
Edmonton-Rutherford,60.2
Edmonton-South West,55.3
Edmonton-Strathcona,50.5
Edmonton-Whitemud,60.3
Fort McMurray-Conklin,51.1
Fort McMurray-Wood Buffalo,41.9
Fort Saskatchewan-Vegreville,53.8
Grande Prairie-Smoky,49
Grande Prairie-Wapiti,52.6
Highwood,55.8
Innisfail-Sylvan Lake,55.4
Lac La Biche-St. Paul-Two Hills,52.7
Lacombe-Ponoka,59.3
Leduc-Beaumont,58.3
Lesser Slave Lake,47.7
Lethbridge-East,57.9
Lethbridge-West,62.5
Little Bow,53.4
Livingstone-Macleod,56.1
Medicine Hat,53.3
Olds-Didsbury-Three Hills,60.1
Peace River,47.5
Red Deer-North,48.5
Red Deer-South,52.5
Rimbey-Rocky Mountain House-Sundre,51.2
Sherwood Park,66.4
Spruce Grove-St. Albert,53.3
St. Albert,62.5
Stony Plain,58.7
Strathcona-Sherwood Park,64.3
Strathmore-Brooks,49.6
Vermilion-Lloydminster,46.8
West Yellowhead,46.3
Wetaskiwin-Camrose,54.7
Whitecourt-Ste. Anne,53.8
